DATE,COUNTRY,PRODUCT,SALES
6/18/2018,INDIA,SPEAKERS,182
6/19/2018,UK,IPHONE,820
6/20/2018,US,TV,387
6/21/2018,GERMANY,TAB,383
6/22/2018,INDIA,PHONE,154
6/23/2018,UK,SPEAKERS,749
6/24/2018,US,IPHONE,935
6/25/2018,GERMANY,TV,656
6/26/2018,INDIA,TAB,806
6/27/2018,UK,PHONE,908
6/28/2018,US,SPEAKERS,331
6/29/2018,GERMANY,IPHONE,913
6/30/2018,INDIA,TV,215
7/1/2018,UK,TAB,629
7/2/2018,US,PHONE,550
7/3/2018,GERMANY,SPEAKERS,158
7/4/2018,INDIA,IPHONE,38
7/5/2018,UK,TV,612
7/6/2018,US,TAB,616
7/7/2018,GERMANY,PHONE,729
7/8/2018,INDIA,SPEAKERS,374
7/9/2018,UK,IPHONE,854
7/10/2018,US,TV,111
7/11/2018,GERMANY,TAB,425
7/12/2018,INDIA,PHONE,680
7/13/2018,UK,SPEAKERS,212
7/14/2018,US,IPHONE,221
7/15/2018,GERMANY,TV,195
7/16/2018,INDIA,TAB,292
7/17/2018,UK,PHONE,597
7/18/2018,US,SPEAKERS,20
7/19/2018,GERMANY,IPHONE,488
7/20/2018,INDIA,TV,244
7/21/2018,UK,TAB,53
7/22/2018,US,PHONE,599
7/23/2018,GERMANY,SPEAKERS,336
7/24/2018,INDIA,IPHONE,697
7/25/2018,UK,TV,826
7/26/2018,US,TAB,401
7/27/2018,GERMANY,PHONE,863
7/28/2018,INDIA,SPEAKERS,501
7/29/2018,UK,IPHONE,494
7/30/2018,US,TV,892
7/31/2018,GERMANY,TAB,609
8/1/2018,INDIA,PHONE,560
8/2/2018,UK,SPEAKERS,13
8/3/2018,US,IPHONE,928
8/4/2018,GERMANY,TV,951
8/5/2018,INDIA,TAB,661
8/6/2018,UK,PHONE,948
8/7/2018,US,SPEAKERS,152
8/8/2018,GERMANY,IPHONE,1000
8/9/2018,INDIA,TV,823
8/10/2018,UK,TAB,125
8/11/2018,US,PHONE,198
8/12/2018,GERMANY,SPEAKERS,658
8/13/2018,INDIA,IPHONE,614
8/14/2018,UK,TV,706
8/15/2018,US,TAB,775
8/16/2018,GERMANY,PHONE,400
8/17/2018,INDIA,SPEAKERS,395
8/18/2018,UK,IPHONE,443
8/19/2018,US,TV,404
8/20/2018,GERMANY,TAB,337
8/21/2018,INDIA,PHONE,664
8/22/2018,UK,SPEAKERS,946
8/23/2018,US,IPHONE,162
8/24/2018,GERMANY,TV,608
8/25/2018,INDIA,TAB,228
8/26/2018,UK,PHONE,766
8/27/2018,US,SPEAKERS,391
8/28/2018,GERMANY,IPHONE,735
8/29/2018,INDIA,TV,349
8/30/2018,UK,TAB,909
8/31/2018,US,PHONE,326
9/1/2018,GERMANY,SPEAKERS,910
9/2/2018,INDIA,IPHONE,470
9/3/2018,UK,TV,490
9/4/2018,US,TAB,351
9/5/2018,GERMANY,PHONE,489
9/6/2018,INDIA,SPEAKERS,400
9/7/2018,UK,IPHONE,888
9/8/2018,US,TV,956
9/9/2018,GERMANY,TAB,329
9/10/2018,INDIA,PHONE,656
9/11/2018,UK,SPEAKERS,932
9/12/2018,US,IPHONE,196
9/13/2018,GERMANY,TV,46
9/14/2018,INDIA,TAB,790
9/15/2018,UK,PHONE,861
9/16/2018,US,SPEAKERS,175
9/17/2018,GERMANY,IPHONE,999
9/18/2018,INDIA,TV,584
9/19/2018,UK,TAB,972
9/20/2018,US,PHONE,290
9/21/2018,GERMANY,SPEAKERS,481
9/22/2018,INDIA,IPHONE,601
9/23/2018,UK,TV,576
9/24/2018,US,TAB,281
9/25/2018,GERMANY,PHONE,353
9/26/2018,INDIA,SPEAKERS,293
9/27/2018,UK,IPHONE,165
9/28/2018,US,TV,343
9/29/2018,GERMANY,TAB,576
9/30/2018,INDIA,PHONE,520
10/1/2018,UK,SPEAKERS,131
10/2/2018,US,IPHONE,125
10/3/2018,GERMANY,TV,325
10/4/2018,INDIA,TAB,523
10/5/2018,UK,PHONE,551
10/6/2018,US,SPEAKERS,947
10/7/2018,GERMANY,IPHONE,721
10/8/2018,INDIA,TV,977
10/9/2018,UK,TAB,456
10/10/2018,US,PHONE,113
10/11/2018,GERMANY,SPEAKERS,706
10/12/2018,INDIA,IPHONE,495
10/13/2018,UK,TV,893
10/14/2018,US,TAB,238
10/15/2018,GERMANY,PHONE,177
10/16/2018,INDIA,SPEAKERS,385
10/17/2018,UK,IPHONE,308
10/18/2018,US,TV,178
10/19/2018,GERMANY,TAB,339
10/20/2018,INDIA,PHONE,861
10/21/2018,UK,SPEAKERS,833
10/22/2018,US,IPHONE,827
10/23/2018,GERMANY,TV,184
10/24/2018,INDIA,TAB,400
10/25/2018,UK,PHONE,48
10/26/2018,US,SPEAKERS,984
10/27/2018,GERMANY,IPHONE,453
10/28/2018,INDIA,TV,810
10/29/2018,UK,TAB,430
10/30/2018,US,PHONE,699
10/31/2018,GERMANY,SPEAKERS,486
11/1/2018,INDIA,IPHONE,966
11/2/2018,UK,TV,477
11/3/2018,US,TAB,358
11/4/2018,GERMANY,PHONE,474
11/5/2018,INDIA,SPEAKERS,962
11/6/2018,UK,IPHONE,466
11/7/2018,US,TV,343
11/8/2018,GERMANY,TAB,104
11/9/2018,INDIA,PHONE,279
11/10/2018,UK,SPEAKERS,387
11/11/2018,US,IPHONE,400
11/12/2018,GERMANY,TV,327
11/13/2018,INDIA,TAB,628
11/14/2018,UK,PHONE,923
11/15/2018,US,SPEAKERS,763
11/16/2018,GERMANY,IPHONE,137
11/17/2018,INDIA,TV,908
11/18/2018,UK,TAB,226
11/19/2018,US,PHONE,465
11/20/2018,GERMANY,SPEAKERS,80
11/21/2018,INDIA,IPHONE,994
11/22/2018,UK,TV,647
11/23/2018,US,TAB,261
11/24/2018,GERMANY,PHONE,832
11/25/2018,INDIA,SPEAKERS,282
11/26/2018,UK,IPHONE,836
11/27/2018,US,TV,94
11/28/2018,GERMANY,TAB,705
11/29/2018,INDIA,PHONE,987
11/30/2018,UK,SPEAKERS,200
12/1/2018,US,IPHONE,810
12/2/2018,GERMANY,TV,169
12/3/2018,INDIA,TAB,105
12/4/2018,UK,PHONE,292
12/5/2018,US,SPEAKERS,540
12/6/2018,GERMANY,IPHONE,180
12/7/2018,INDIA,TV,848
12/8/2018,UK,TAB,647
12/9/2018,US,PHONE,471
12/10/2018,GERMANY,SPEAKERS,926
12/11/2018,INDIA,IPHONE,743
12/12/2018,UK,TV,492
12/13/2018,US,TAB,497
12/14/2018,GERMANY,PHONE,427
12/15/2018,INDIA,SPEAKERS,382
12/16/2018,UK,IPHONE,569
12/17/2018,US,TV,782
12/18/2018,GERMANY,TAB,898
12/19/2018,INDIA,PHONE,698
12/20/2018,UK,SPEAKERS,963
12/21/2018,US,IPHONE,291
12/22/2018,GERMANY,TV,553
12/23/2018,INDIA,TAB,982
12/24/2018,UK,PHONE,892
12/25/2018,US,SPEAKERS,558
12/26/2018,GERMANY,IPHONE,342
12/27/2018,INDIA,TV,494
12/28/2018,UK,TAB,33
12/29/2018,US,PHONE,860
12/30/2018,GERMANY,SPEAKERS,489
12/31/2018,INDIA,IPHONE,815
1/1/2019,UK,TV,236
1/2/2019,US,TAB,883
1/3/2019,GERMANY,PHONE,54
1/4/2019,INDIA,SPEAKERS,303
1/5/2019,UK,IPHONE,897
1/6/2019,US,TV,841
1/7/2019,GERMANY,TAB,571
1/8/2019,INDIA,PHONE,973
1/9/2019,UK,SPEAKERS,713
1/10/2019,US,IPHONE,691
1/11/2019,GERMANY,TV,611
1/12/2019,INDIA,TAB,987
1/13/2019,UK,PHONE,402
1/14/2019,US,SPEAKERS,85
1/15/2019,GERMANY,IPHONE,58
1/16/2019,INDIA,TV,800
1/17/2019,UK,TAB,662
1/18/2019,US,PHONE,952
1/19/2019,GERMANY,SPEAKERS,89
1/20/2019,INDIA,IPHONE,438
1/21/2019,UK,TV,102
1/22/2019,US,TAB,42
1/23/2019,GERMANY,PHONE,84
1/24/2019,INDIA,SPEAKERS,117
1/25/2019,UK,IPHONE,167
1/26/2019,US,TV,592
1/27/2019,GERMANY,TAB,83
1/28/2019,INDIA,PHONE,952
1/29/2019,UK,SPEAKERS,373
1/30/2019,US,IPHONE,830
1/31/2019,GERMANY,TV,207
2/1/2019,INDIA,TAB,406
2/2/2019,UK,PHONE,452
2/3/2019,US,SPEAKERS,534
2/4/2019,GERMANY,IPHONE,988
2/5/2019,INDIA,TV,341
2/6/2019,UK,TAB,578
2/7/2019,US,PHONE,308
2/8/2019,GERMANY,SPEAKERS,810
2/9/2019,INDIA,IPHONE,464
2/10/2019,UK,TV,199
2/11/2019,US,TAB,42
2/12/2019,GERMANY,PHONE,502
2/13/2019,INDIA,SPEAKERS,506
2/14/2019,UK,IPHONE,996
2/15/2019,US,TV,177
2/16/2019,GERMANY,TAB,240
2/17/2019,INDIA,PHONE,169
2/18/2019,UK,SPEAKERS,833
2/19/2019,US,IPHONE,332
2/20/2019,GERMANY,TV,317
2/21/2019,INDIA,TAB,470
2/22/2019,UK,PHONE,690
2/23/2019,US,SPEAKERS,8
2/24/2019,GERMANY,IPHONE,621
2/25/2019,INDIA,TV,553
2/26/2019,UK,TAB,572
2/27/2019,US,PHONE,706
2/28/2019,GERMANY,SPEAKERS,900
3/1/2019,INDIA,IPHONE,44
3/2/2019,UK,TV,371
3/3/2019,US,TAB,647
3/4/2019,GERMANY,PHONE,113
3/5/2019,INDIA,SPEAKERS,726
3/6/2019,UK,IPHONE,573
3/7/2019,US,TV,876
3/8/2019,GERMANY,TAB,453
3/9/2019,INDIA,PHONE,827
3/10/2019,UK,SPEAKERS,414
3/11/2019,US,IPHONE,420
3/12/2019,GERMANY,TV,817
3/13/2019,INDIA,TAB,348
3/14/2019,UK,PHONE,711
3/15/2019,US,SPEAKERS,449
3/16/2019,GERMANY,IPHONE,190
3/17/2019,INDIA,TV,803
3/18/2019,UK,TAB,314
3/19/2019,US,PHONE,367
3/20/2019,GERMANY,SPEAKERS,924
3/21/2019,INDIA,IPHONE,233
3/22/2019,UK,TV,136
3/23/2019,US,TAB,962
3/24/2019,GERMANY,PHONE,361
3/25/2019,INDIA,SPEAKERS,399
3/26/2019,UK,IPHONE,314
3/27/2019,US,TV,331
3/28/2019,GERMANY,TAB,912
3/29/2019,INDIA,PHONE,221
3/30/2019,UK,SPEAKERS,961
3/31/2019,US,IPHONE,358
4/1/2019,GERMANY,TV,271
4/2/2019,INDIA,TAB,479
4/3/2019,UK,PHONE,646
4/4/2019,US,SPEAKERS,430
4/5/2019,GERMANY,IPHONE,678
4/6/2019,INDIA,TV,586
4/7/2019,UK,TAB,80
4/8/2019,US,PHONE,338
4/9/2019,GERMANY,SPEAKERS,691
4/10/2019,INDIA,IPHONE,589
4/11/2019,UK,TV,334
4/12/2019,US,TAB,103
4/13/2019,GERMANY,PHONE,222
4/14/2019,INDIA,SPEAKERS,369
4/15/2019,UK,IPHONE,207
4/16/2019,US,TV,946
4/17/2019,GERMANY,TAB,662
4/18/2019,INDIA,PHONE,62
4/19/2019,UK,SPEAKERS,562
4/20/2019,US,IPHONE,46
4/21/2019,GERMANY,TV,431
4/22/2019,INDIA,TAB,482
4/23/2019,UK,PHONE,548
4/24/2019,US,SPEAKERS,31
4/25/2019,GERMANY,IPHONE,79
4/26/2019,INDIA,TV,803
4/27/2019,UK,TAB,139
4/28/2019,US,PHONE,180
4/29/2019,GERMANY,SPEAKERS,646
4/30/2019,INDIA,IPHONE,40
5/1/2019,UK,TV,51
5/2/2019,US,TAB,614
5/3/2019,GERMANY,PHONE,619
5/4/2019,INDIA,SPEAKERS,306
5/5/2019,UK,IPHONE,654
5/6/2019,US,TV,555
5/7/2019,GERMANY,TAB,813
5/8/2019,INDIA,PHONE,788
5/9/2019,UK,SPEAKERS,808
5/10/2019,US,IPHONE,849
5/11/2019,GERMANY,TV,730
5/12/2019,INDIA,TAB,10
5/13/2019,UK,PHONE,242
5/14/2019,US,SPEAKERS,182
5/15/2019,GERMANY,IPHONE,70
5/16/2019,INDIA,TV,219
5/17/2019,UK,TAB,92
5/18/2019,US,PHONE,368
5/19/2019,GERMANY,SPEAKERS,540
5/20/2019,INDIA,IPHONE,821
5/21/2019,UK,TV,868
5/22/2019,US,TAB,69
5/23/2019,GERMANY,PHONE,982
5/24/2019,INDIA,SPEAKERS,86
5/25/2019,UK,IPHONE,346
5/26/2019,US,TV,552
5/27/2019,GERMANY,TAB,939
5/28/2019,INDIA,PHONE,253
5/29/2019,UK,SPEAKERS,233
5/30/2019,US,IPHONE,700
5/31/2019,GERMANY,TV,451
6/1/2019,INDIA,TAB,249
6/2/2019,UK,PHONE,387
6/3/2019,US,SPEAKERS,242
6/4/2019,GERMANY,IPHONE,622
6/5/2019,INDIA,TV,670
6/6/2019,UK,TAB,688
6/7/2019,US,PHONE,890
6/8/2019,GERMANY,SPEAKERS,976
6/9/2019,INDIA,IPHONE,384
6/10/2019,UK,TV,972
6/11/2019,US,TAB,759
6/12/2019,GERMANY,PHONE,72
6/13/2019,INDIA,SPEAKERS,597
6/14/2019,UK,IPHONE,885
6/15/2019,US,TV,917
6/16/2019,GERMANY,TAB,570
6/17/2019,INDIA,PHONE,151
6/18/2019,UK,SPEAKERS,993
6/19/2019,US,IPHONE,288
6/20/2019,GERMANY,TV,454
6/21/2019,INDIA,TAB,87
6/22/2019,UK,PHONE,703
6/23/2019,US,SPEAKERS,907
6/24/2019,GERMANY,IPHONE,927
6/25/2019,INDIA,TV,49
6/26/2019,UK,TAB,676
6/27/2019,US,PHONE,295
6/28/2019,GERMANY,SPEAKERS,606
6/29/2019,INDIA,IPHONE,887
6/30/2019,UK,TV,944
7/1/2019,US,TAB,955
7/2/2019,GERMANY,PHONE,162
7/3/2019,INDIA,SPEAKERS,659
7/4/2019,UK,IPHONE,442
7/5/2019,US,TV,678
7/6/2019,GERMANY,TAB,202
7/7/2019,INDIA,PHONE,580
7/8/2019,UK,SPEAKERS,31
7/9/2019,US,IPHONE,431
7/10/2019,GERMANY,TV,656
7/11/2019,INDIA,TAB,178
7/12/2019,UK,PHONE,251
7/13/2019,US,SPEAKERS,983
7/14/2019,GERMANY,IPHONE,631
7/15/2019,INDIA,TV,514
7/16/2019,UK,TAB,679
7/17/2019,US,PHONE,214
7/18/2019,GERMANY,SPEAKERS,668
7/19/2019,INDIA,IPHONE,405
7/20/2019,UK,TV,961
7/21/2019,US,TAB,155
7/22/2019,GERMANY,PHONE,833
7/23/2019,INDIA,SPEAKERS,459
7/24/2019,UK,IPHONE,963
7/25/2019,US,TV,211
7/26/2019,GERMANY,TAB,641
7/27/2019,INDIA,PHONE,787
7/28/2019,UK,SPEAKERS,63
7/29/2019,US,IPHONE,230
7/30/2019,GERMANY,TV,201
7/31/2019,INDIA,TAB,120
8/1/2019,UK,PHONE,240
8/2/2019,US,SPEAKERS,757
8/3/2019,GERMANY,IPHONE,156
8/4/2019,INDIA,TV,336
8/5/2019,UK,TAB,554
8/6/2019,US,PHONE,844
8/7/2019,GERMANY,SPEAKERS,589
8/8/2019,INDIA,IPHONE,227
8/9/2019,UK,TV,584
8/10/2019,US,TAB,949
8/11/2019,GERMANY,PHONE,894
8/12/2019,INDIA,SPEAKERS,216
8/13/2019,UK,IPHONE,789
8/14/2019,US,TV,712
8/15/2019,GERMANY,TAB,871
8/16/2019,INDIA,PHONE,116
8/17/2019,UK,SPEAKERS,835
8/18/2019,US,IPHONE,407
8/19/2019,GERMANY,TV,452
8/20/2019,INDIA,TAB,526
8/21/2019,UK,PHONE,180
8/22/2019,US,SPEAKERS,344
8/23/2019,GERMANY,IPHONE,172
8/24/2019,INDIA,TV,126
8/25/2019,UK,TAB,396
8/26/2019,US,PHONE,202
8/27/2019,GERMANY,SPEAKERS,236
8/28/2019,INDIA,IPHONE,647
8/29/2019,UK,TV,379
8/30/2019,US,TAB,364
8/31/2019,GERMANY,PHONE,890
9/1/2019,INDIA,SPEAKERS,234
9/2/2019,UK,IPHONE,304
9/3/2019,US,TV,388
9/4/2019,GERMANY,TAB,747
9/5/2019,INDIA,PHONE,564
9/6/2019,UK,SPEAKERS,104
9/7/2019,US,IPHONE,365
9/8/2019,GERMANY,TV,575
9/9/2019,INDIA,TAB,802
9/10/2019,UK,PHONE,186
9/11/2019,US,SPEAKERS,1
9/12/2019,GERMANY,IPHONE,677
9/13/2019,INDIA,TV,349
9/14/2019,UK,TAB,580
9/15/2019,US,PHONE,224
9/16/2019,GERMANY,SPEAKERS,788
9/17/2019,INDIA,IPHONE,467
9/18/2019,UK,TV,537
9/19/2019,US,TAB,65
9/20/2019,GERMANY,PHONE,955
9/21/2019,INDIA,SPEAKERS,595
9/22/2019,UK,IPHONE,85
9/23/2019,US,TV,982
9/24/2019,GERMANY,TAB,138
9/25/2019,INDIA,PHONE,29
9/26/2019,UK,SPEAKERS,428
9/27/2019,US,IPHONE,677
9/28/2019,GERMANY,TV,983
9/29/2019,INDIA,TAB,605
9/30/2019,UK,PHONE,98
10/1/2019,US,SPEAKERS,505
10/2/2019,GERMANY,IPHONE,698
10/3/2019,INDIA,TV,408
10/4/2019,UK,TAB,459
10/5/2019,US,PHONE,948
10/6/2019,GERMANY,SPEAKERS,103
10/7/2019,INDIA,IPHONE,290
10/8/2019,UK,TV,195
10/9/2019,US,TAB,127
10/10/2019,GERMANY,PHONE,791
10/11/2019,INDIA,SPEAKERS,697
10/12/2019,UK,IPHONE,736
10/13/2019,US,TV,407
10/14/2019,GERMANY,TAB,820
10/15/2019,INDIA,PHONE,344
10/16/2019,UK,SPEAKERS,360
10/17/2019,US,IPHONE,782
10/18/2019,GERMANY,TV,803
10/19/2019,INDIA,TAB,100
10/20/2019,UK,PHONE,171
10/21/2019,US,SPEAKERS,603
10/22/2019,GERMANY,IPHONE,287
10/23/2019,INDIA,TV,32
10/24/2019,UK,TAB,45
10/25/2019,US,PHONE,379
10/26/2019,GERMANY,SPEAKERS,490
10/27/2019,INDIA,IPHONE,831
10/28/2019,UK,TV,426
10/29/2019,US,TAB,357
10/30/2019,GERMANY,PHONE,160
10/31/2019,INDIA,SPEAKERS,658
11/1/2019,UK,IPHONE,797
11/2/2019,US,TV,610
11/3/2019,GERMANY,TAB,78
11/4/2019,INDIA,PHONE,788
11/5/2019,UK,SPEAKERS,521
11/6/2019,US,IPHONE,456
11/7/2019,GERMANY,TV,911
11/8/2019,INDIA,TAB,864
11/9/2019,UK,PHONE,531
11/10/2019,US,SPEAKERS,478
11/11/2019,GERMANY,IPHONE,204
11/12/2019,INDIA,TV,920
11/13/2019,UK,TAB,630
11/14/2019,US,PHONE,147
11/15/2019,GERMANY,SPEAKERS,778
11/16/2019,INDIA,IPHONE,679
11/17/2019,UK,TV,336
11/18/2019,US,TAB,947
11/19/2019,GERMANY,PHONE,269
11/20/2019,INDIA,SPEAKERS,501
11/21/2019,UK,IPHONE,855
11/22/2019,US,TV,282
11/23/2019,GERMANY,TAB,243
11/24/2019,INDIA,PHONE,317
11/25/2019,UK,SPEAKERS,883
11/26/2019,US,IPHONE,794
11/27/2019,GERMANY,TV,595
11/28/2019,INDIA,TAB,8
11/29/2019,UK,PHONE,835
11/30/2019,US,SPEAKERS,471
12/1/2019,GERMANY,IPHONE,798
12/2/2019,INDIA,TV,109
12/3/2019,UK,TAB,836
12/4/2019,US,PHONE,862
12/5/2019,GERMANY,SPEAKERS,318
12/6/2019,INDIA,IPHONE,61
12/7/2019,UK,TV,138
12/8/2019,US,TAB,163
12/9/2019,GERMANY,PHONE,771
12/10/2019,INDIA,SPEAKERS,655
12/11/2019,UK,IPHONE,956
12/12/2019,US,TV,892
12/13/2019,GERMANY,TAB,877
12/14/2019,INDIA,PHONE,108
12/15/2019,UK,SPEAKERS,272
12/16/2019,US,IPHONE,784
12/17/2019,GERMANY,TV,896
12/18/2019,INDIA,TAB,907
12/19/2019,UK,PHONE,464
12/20/2019,US,SPEAKERS,766
12/21/2019,GERMANY,IPHONE,166
12/22/2019,INDIA,TV,949
12/23/2019,UK,TAB,357
12/24/2019,US,PHONE,135
12/25/2019,GERMANY,SPEAKERS,586
12/26/2019,INDIA,IPHONE,590
12/27/2019,UK,TV,722
12/28/2019,US,TAB,603
12/29/2019,GERMANY,PHONE,672
12/30/2019,INDIA,SPEAKERS,474
12/31/2019,UK,IPHONE,408
1/1/2020,US,TV,717
1/2/2020,GERMANY,TAB,965
1/3/2020,INDIA,PHONE,411
1/4/2020,UK,SPEAKERS,41
1/5/2020,US,IPHONE,842
1/6/2020,GERMANY,TV,356
1/7/2020,INDIA,TAB,213
1/8/2020,UK,PHONE,690
1/9/2020,US,SPEAKERS,138
1/10/2020,GERMANY,IPHONE,434
1/11/2020,INDIA,TV,642
1/12/2020,UK,TAB,115
1/13/2020,US,PHONE,862
1/14/2020,GERMANY,SPEAKERS,247
1/15/2020,INDIA,IPHONE,680
1/16/2020,UK,TV,351
1/17/2020,US,TAB,896
1/18/2020,GERMANY,PHONE,866
1/19/2020,INDIA,SPEAKERS,225
1/20/2020,UK,IPHONE,985
1/21/2020,US,TV,791
1/22/2020,GERMANY,TAB,769
1/23/2020,INDIA,PHONE,870
1/24/2020,UK,SPEAKERS,334
1/25/2020,US,IPHONE,258
1/26/2020,GERMANY,TV,279
1/27/2020,INDIA,TAB,264
1/28/2020,UK,PHONE,523
1/29/2020,US,SPEAKERS,98
1/30/2020,GERMANY,IPHONE,579
1/31/2020,INDIA,TV,479
2/1/2020,UK,TAB,971
2/2/2020,US,PHONE,126
2/3/2020,GERMANY,SPEAKERS,62
2/4/2020,INDIA,IPHONE,45
2/5/2020,UK,TV,628
2/6/2020,US,TAB,958
